tmdb_network,origin_country,channel_number,channel_name
HBO,,1068,H.B.Yo Min
HBO Max,,1068,H.B.Yo Min
Max,,1068,H.B.Yo Min
Netflix,,1064,Netflicks
Apple TV+,,1065,Pear TV+
Hulu,,1066,Hula
Paramount+,,1067,Paramountain+
Amazon,,1069,Primary Video
Prime Video,,1069,Primary Video
Showtime,,1070,Viewtime
Disney+,,1063,Dizzy+
Crunchyroll,,1071,Munchyroll
NBC,,1018,N.B.Sea
ABC,,1019,A.B.Sea
CBS,,1022,C.B.Yes
FOX,,1023,FAUX
The CW,,1021,SeaW
MyNetworkTV,,1020,NTV
PBS,,1011,P.B.Yes
CBC,,1062,C.B.Sea
BBC One,,1026,B.B.Sea
BBC Two,,1026,B.B.Sea
BBC,,1026,B.B.Sea
FX,,1014,EF-X
FXX,,1015,EF-XX
AMC,,1025,A.M.Sea
TNT,,1027,T.N.Tea
TLC,,1028,T.L.Sea
USA Network,,1047,US Yay
Bravo,,1029,Bravio
BET,,1030,BETV
Hallmark Channel,,1031,Trademark Channel
Discovery,,1032,Uncover Channel
Discovery Channel,,1032,Uncover Channel
Animal Planet,,1033,Animal Globe
OWN,,1034,YouTV
National Geographic,,1035,National Geography
Syfy,,1036,Sigh-Fi
Comedy Central,,1038,Comedy Middle
MGM+,,1039,M.G.N.
Epix,,1039,M.G.N.
Nickelodeon,,1008,Pennyodeon
Nick Jr.,,1009,Penny Jr.
Cartoon Network,,1006,Cartoon Net
Boomerang,,1007,Boomer-Rang
Adult Swim,,1051,Adult Skim
Disney Channel,,1001,Dizzy Channel
Disney Junior,,1002,Dizzy Junior
Disney XD,,1003,DizzyXD
Toon Disney,,1004,Toon Dizzy
Playhouse Disney,,1005,Playhome Dizzy
Food Network,,1012,Meal Network
HGTV,,1024,H.G.T.Vee
Travel Channel,,1059,Trip Channel
History,,1017,Story Channel
A&E,,1048,A&Me
Investigation Discovery,,1048,A&Me
truTV,,1046,TruthTV
CNN,,1060,Sea.N.N.
ESPN,,1061,YESPN
Starz,,1055,SPARZ
Cinemax,,1056,CINEMIN
Freeform,,1057,Feeform
Lifetime,,1058,Lifetune
TBS,,1044,TeeBS
Spike,,1045,Spoke
Paramount Network,,1045,Spoke
ION Television,,1016,eon Television
Game Show Network,,1049,GuessSN
Telemundo,,1111,TeleMondo
Univision,,1111,TeleMondo
Shudder,,1037,Terror Channel
TV Land,,1013,TV World
Nick at Nite,,1041,Nap @ Nite
Fox Kids,,1042,Faux Kids
Kids' WB,,1043,Kids' DuB
Kids WB,,1043,Kids' DuB
The WB,,1021,SeaW
UPN,,1021,SeaW
Turner Classic Movies,,1050,TCN
TCM,,1050,TCN
MeTV,,1040,Watch-On-Repeat
Cozi TV,,1040,Watch-On-Repeat
Antenna TV,,1040,Watch-On-Repeat
Nick Toons,,1008,Pennyodeon
Nicktoons,,1008,Pennyodeon
TeenNick,,1008,Pennyodeon
Nickelodeon Jr.,,1009,Penny Jr.
Radio Disney,,1001,Dizzy Channel
PBS Kids,,1010,P.B.Yes Tots
Sprout,,1010,P.B.Yes Tots
Universal Kids,,1009,Penny Jr.
CNN International,,1060,Sea.N.N.
HLN,,1060,Sea.N.N.
MSNBC,,1060,Sea.N.N.
CNBC,,1060,Sea.N.N.
FOX News,,1060,Sea.N.N.
Fox News Channel,,1060,Sea.N.N.
BBC News,,1060,Sea.N.N.
ESPN2,,1061,YESPN
ESPNU,,1061,YESPN
ESPN+,,1061,YESPN
FOX Sports 1,,1061,YESPN
FS1,,1061,YESPN
NBC Sports,,1061,YESPN
NFL Network,,1061,YESPN
MLB Network,,1061,YESPN
NBA TV,,1061,YESPN
Golf Channel,,1061,YESPN
Tennis Channel,,1061,YESPN
DAZN,,1061,YESPN
Science Channel,,1032,Uncover Channel
Discovery Family,,1032,Uncover Channel
Discovery Life,,1032,Uncover Channel
Destination America,,1032,Uncover Channel
American Heroes Channel,,1032,Uncover Channel
Military Channel,,1017,Story Channel
History en Espanol,,1017,Story Channel
Vice,,1032,Uncover Channel
Nat Geo Wild,,1033,Animal Globe
National Geographic Wild,,1033,Animal Globe
Cooking Channel,,1012,Meal Network
DIY Network,,1024,H.G.T.Vee
Great American Country,,1024,H.G.T.Vee
Magnolia Network,,1024,H.G.T.Vee
Oxygen,,1046,TruthTV
WE tv,,1058,Lifetune
Lifetime Movie Network,,1058,Lifetune
Hallmark Movies & Mysteries,,1031,Trademark Channel
Hallmark Movies and Mysteries,,1031,Trademark Channel
SundanceTV,,1025,A.M.Sea
Sundance TV,,1025,A.M.Sea
IFC,,1025,A.M.Sea
AMC+,,1025,A.M.Sea
BBC America,,1026,B.B.Sea
Pop,,1013,TV World
Ovation,,1013,TV World
Reelz,,1013,TV World
TV One,,1030,BETV
Bounce TV,,1030,BETV
Aspire,,1030,BETV
Comedy Central UK,,1038,Comedy Middle
CMT,,1045,Spoke
Chiller,,1037,Terror Channel
FEARnet,,1037,Terror Channel
AMC Thrillers,,1037,Terror Channel
HBO Signature,,1068,H.B.Yo Min
Paramount Plus,,1067,Paramountain+
Apple TV,,1065,Pear TV+
Amazon Prime Video,,1069,Primary Video
Freevee,,1069,Primary Video
Peacock Premium,,1018,N.B.Sea
Disney Plus,,1063,Dizzy+
Hulu Originals,,1066,Hula
Netflix Kids,,1064,Netflicks
Tokyo MX,,1071,Munchyroll
TV Tokyo,,1071,Munchyroll
Fuji TV,,1071,Munchyroll
TV Asahi,,1071,Munchyroll
Nippon TV,,1071,Munchyroll
MBS,,1071,Munchyroll
AT-X,,1071,Munchyroll
WOWOW,,1071,Munchyroll
Animax,,1071,Munchyroll
Funimation,,1071,Munchyroll
HIDIVE,,1071,Munchyroll
Aniplex,,1071,Munchyroll
TVQ,,1071,Munchyroll
BS11,,1071,Munchyroll
Kids Station,,1071,Munchyroll
TBS,JP,1071,Munchyroll
NTV,JP,1071,Munchyroll
NHK,JP,1071,Munchyroll
CBC,JP,1071,Munchyroll
BBC Three,,1026,B.B.Sea
BBC Four,,1026,B.B.Sea
CBBC,,1011,P.B.Yes
CBeebies,,1010,P.B.Yes Tots
Teletoon,,1006,Cartoon Net
YTV,,1006,Cartoon Net
Family Channel,,1001,Dizzy Channel
Cartoon Network Latin America,,1006,Cartoon Net
Toonami,,1006,Cartoon Net
